,employeeid,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,weekbefore,ncoachingid,total coaching improved,csat,actualvalue
115,26703161,88.89,77.77833333333334,90.625,92.0,100.0,95.57714285714287,95.23666666666666,66.67,2.0,1.0,94.76,
116,26703180,92.38142857142859,97.22222222222223,98.21428571428571,94.28571428571429,,88.54125,,100.0,1.0,,94.93,93.33
117,26703180,92.38142857142859,97.22222222222223,98.21428571428571,94.28571428571429,,88.54125,,75.0,1.0,,94.93,93.33
118,26703181,96.875,,97.91625,91.4425,96.04124999999999,,96.25,100.0,10.0,4.0,95.47,95.00
119,26703181,96.875,,97.91625,91.4425,96.04124999999999,,96.25,100.0,10.0,4.0,95.47,95.00
120,26703193,94.05857142857143,100.0,94.44333333333333,100.0,94.12714285714286,96.4275,96.66666666666667,100.0,2.0,2.0,94.59,97.44
121,26703193,94.05857142857143,100.0,94.44333333333333,100.0,94.12714285714286,96.4275,96.66666666666667,100.0,2.0,2.0,94.59,97.44
122,26703194,,91.66624999999999,95.57714285714287,98.41285714285713,,96.28333333333333,93.195,100.0,2.0,1.0,95.56,96.15
123,26703194,,91.66624999999999,95.57714285714287,98.41285714285713,,96.28333333333333,93.195,100.0,2.0,1.0,95.56,96.15
124,26703194,,91.66624999999999,95.57714285714287,98.41285714285713,,96.28333333333333,93.195,100.0,2.0,1.0,95.56,96.15
125,26703200,96.91571428571429,80.0,95.8325,,98.21375,94.58571428571427,100.0,100.0,,,94.77,95.65
126,26703203,100.0,90.87249999999999,94.166,92.85714285714286,,95.63444444444445,,100.0,7.0,6.0,93.73,88.46
127,26703203,100.0,90.87249999999999,94.166,92.85714285714286,,95.63444444444445,,85.71,7.0,6.0,93.73,88.46
128,26703205,100.0,93.75,92.5,,95.83333333333333,93.3325,92.36166666666666,100.0,1.0,1.0,95.45,100.00
129,26703218,97.61857142857141,,97.91666666666667,88.89,92.8825,100.0,82.84125,100.0,9.0,7.0,96.62,97.14
130,26703218,97.61857142857141,,97.91666666666667,88.89,92.8825,100.0,82.84125,100.0,9.0,7.0,96.62,97.14
131,26703220,100.0,92.2225,89.67999999999999,75.0,100.0,88.095,100.0,100.0,1.0,1.0,93.97,86.96
132,26703220,100.0,92.2225,89.67999999999999,75.0,100.0,88.095,100.0,100.0,1.0,1.0,93.97,86.96
133,26703220,100.0,92.2225,89.67999999999999,75.0,100.0,88.095,100.0,77.78,1.0,1.0,93.97,86.96
134,26703226,95.96714285714286,85.03428571428572,96.00875,91.47749999999999,94.69125,97.51625000000001,96.135,95.71,,,,
135,26703226,95.96714285714286,85.03428571428572,96.00875,91.47749999999999,94.69125,97.51625000000001,96.135,100.0,,,,
